# E-budget from experiments/runs/exp3_power_d8.jsonl
# N=150 T=10
t	bald_mean	oracle_mean	random_mean	voi_mean	bald-voi	lo	hi
1	3.9644	2.4970	4.5055	4.1160	-0.1516	-0.6448	+0.3282
2	3.4663	1.7934	4.0675	3.3592	+0.1072	-0.2977	+0.5239
3	3.5578	1.4985	3.8019	3.1076	+0.4503	-0.0267	+0.9263
4	3.5472	1.3163	3.5483	3.3930	+0.1541	-0.4328	+0.7427
5	3.3381	1.1055	3.7090	3.1050	+0.2331	-0.3743	+0.8370
6	3.1870	1.0765	3.8064	2.9084	+0.2786	-0.2870	+0.8186
7	3.0875	1.0493	3.7228	2.9282	+0.1594	-0.4644	+0.7802
8	3.0945	0.9470	3.5193	2.5037	+0.5908	-0.0658	+1.2678
9	2.8938	0.9672	3.6696	2.6400	+0.2538	-0.4220	+0.9304
10	2.8125	0.8539	3.3557	2.6828	+0.1298	-0.5545	+0.8251
